x0y0,x0y1,x1y0,x1y1,frame,time
"(210, 360)","(210, 310)","(435, 365)","(435, 315)",0,0:00
"(192, 285)","(205, 255)","(340, 325)","(345, 295)",36,0:03
"(285, 265)","(282, 235)","(408, 266)","(410, 240)",72,0:06
"(185, 343)","(185, 283)","(467, 374)","(470, 314)",108,0:09
"(219, 444)","(220, 407)","(403, 443)","(403, 405)",144,0:12
"(199, 334)","(196, 291)","(387, 319)","(383, 278)",180,0:15
"(272, 380)","(271, 331)","(510, 372)","(510, 319)",216,0:18
"(339, 179)","(342, 150)","(482, 186)","(483, 155)",252,0:21
"(248, 203)","(251, 168)","(397, 223)","(399, 191)",288,0:24
"(115, 262)","(118, 182)","(481, 271)","(495, 200)",324,0:27
"(82, 226)","(72, 114)","(550, 202)","(551, 109)",360,0:30
"(125, 425)","(125, 310)","(620, 422)","(620, 315)",396,0:33
"(232, 275)","(227, 230)","(435, 262)","(435, 218)",432,0:36
"(125, 425)","(125, 310)","(520, 422)","(620, 320)",468,0:39
"(260, 360)","(261, 326)","(406, 378)","(404, 342)",504,0:42
"(259, 437)","(256, 402)","(431, 438)","(431, 406)",540,0:45
"(251, 224)","(252, 190)","(412, 223)","(411, 190)",576,0:48
"(226, 272)","(223, 247)","(343, 262)","(343, 237)",612,0:51
"(293, 348)","(291, 323)","(399, 342)","(399, 316)",648,0:54
"(315, 268)","(315, 244)","(425, 268)","(425, 244)",684,0:57
"(281, 274)","(279, 224)","(495, 262)","(489, 213)",720,1:00
"(217, 370)","(211, 310)","(423, 334)","(413, 284)",756,1:03
"(350, 284)","(347, 250)","(484, 274)","(481, 246)",792,1:06
"(350, 284)","(347, 250)","(484, 274)","(481, 246)",828,1:09
"(343, 374)","(340, 331)","(531, 358)","(529, 316)",864,1:12
"(88, 374)","(103, 320)","(319, 436)","(524, 317)",900,1:15
"(242, 316)","(244, 282)","(387, 318)","(387, 286)",936,1:18
"(272, 194)","(273, 158)","(422, 204)","(426, 163)",972,1:21
"(303, 368)","(301, 339)","(432, 365)","(431, 334)",1008,1:24
"(344, 261)","(346, 225)","(497, 254)","(497, 221)",1044,1:27
